sentence,np,vp,ner_rich
"Given some pre-defined criteria about the content of a knowledge base/database, sending a  message notifying that the criteria have now been met
","['pre-defined criteria', 'content knowledge base/database', 'message', 'criteria']
","['Given', 'sending', 'notifying', 'met'] 
",1
"490
","[]
","[] 
",0
"4.1.3.
","[]
","[] 
",0
"Machine Translation (MT)
","['Machine Translation', 'MT']
","[] 
",0
"The need for extensive translation capabilities, whether human or machine, is becoming increasingly
","['The need', 'extensive translation capabilities', 'human machine']
","['becoming'] 
",0
"important to the U.S., because of both the increasing importance of world markets to U.S. business and the
","['important U.S.', 'importance world markets U.S. business']
","['increasing'] 
",0
"increasing role of joint military operations.
","['role joint', 'military operations']
","['increasing'] 
",0
"Aids to translation therefore can help the U.S. achieve success in an
","['Aids translation', 'U.S.', 'success']
","['therefore help', 'achieve'] 
",1
"evolving world.
","['world']
","['evolving'] 
",0
"The potential impact of MT is indicated below by a quote: 2
","['The potential impact MT', 'quote']
","['indicated'] 
",0
"Today, more than 20 years after computerized language translation was laughed out of the funding process in the  United States.
","['Today', 'years', 'computerized language translation', 'funding process United']
","['laughed'] 
",0
"several Japanese companies and industry/government collaborations are beginning to turn the once-  derided technology into a gold mine of new applications and opportunities.
","['several Japanese companies', 'industry/government collaborations', 'once- derided technology gold', 'new applications opportunities']
","['beginning turn', 'mine'] 
",1
"The top U.S. company estimates that the  annual market for international translation is at least $10 billion, and as machine translation systems improve they will  command an increasing share of a market growing at a rate of I0 to 15 percent a year.
","['The top U.S. company', 'annual market', 'international translation', 'machine translation systems', 'command', 'share market', 'rate I0', 'percent year']
","['estimates', 'improve', 'increasing', 'growing'] 
",1
"The key to why there is a market for MT today is the fact that one need not have fully automatic
","['The key market MT today fact', 'need']
","[] 
",0
"high-quality translation to have a valuable product; tools that increase productivity are sufficient.
","['high-quality translation', 'valuable product', 'tools increase productivity sufficient']
","[] 
",0
"If economies are
","['economies']
","[] 
",0
"gained by editing a translation drafted using MT, that is sufficient to warrant use of MT systems.
","['translation', 'MT', 'sufficient warrant use MT systems']
","['gained editing', 'drafted using'] 
",1
"In terms of R&D funding, MT is the application of NLP that is attracting the most funding from
","['terms R', 'D funding', 'MT application NLP', 'funding']
","['attracting'] 
",0
"government and industry in Japan and Europe.
","['government industry Japan Europe']
","[] 
",0
"In Europe, Eurotra alone is spending $20 million in MT, with
","['Europe', 'Eurotra', 'MT']
","['alone spending'] 
",0
"another expected $20 million in matching funds.
","['matching funds']
","['expected'] 
",0
"The total Japanese investment is even larger (most of it industrial).
","['The total Japanese investment']
","[] 
",0
"ATR (in Osaka, funded by the ministry of postal and telecommunication) is doing a 15-year project on simultaneous
","['ATR', 'Osaka', 'ministry', 'postal telecommunication', '15-year project']
","['funded'] 
",0
"""interpreting telephony"" combining MT, dialog analysis, and speech.
","['interpreting telephony', 'MT', 'dialog analysis', 'speech']
","['combining'] 
",0
"4.1.4.
","[]
","[] 
",0
"Forecasting the Market
","['Market']
","['Forecasting'] 
",0
"Though forecasting the market for a technology that is emerging from the laboratory is not a reliable
","['market technology', 'laboratory']
","['forecasting', 'emerging'] 
",1
"process, we cite what we feel is the most useful market survey.
","['process', 'cite feel', 'useful market survey']
","[] 
",0
"Figure 4..1 shows estimated sales in 1987 of NLP
","['Figure', '..', 'shows', 'sales', 'NLP']
","['estimated'] 
",0
"systems in the U.S.; Figure 4-2 shows estimated sales of NLP products in 1985 and 1987 and forecasted sales for
","['systems U.S.', 'Figure', 'shows', 'sales NLP products', 'sales']
","['estimated', 'forecasted'] 
",1
"1989, 1991, 1993, and 1995.
","[]
","[] 
",0
"In the diagrams, ""content scanning"" corresponds to the ultimate goal of text reading,
","['diagrams', 'content scanning', 'corresponds', 'ultimate goal text reading']
","[] 
",0
"and ""talkwriter"" corresponds to the goal of automatic speech transcription.
","['talkwriter', 'corresponds goal', 'automatic speech transcription']
","[] 
",0
"4.2.
","[]
","[] 
",0
"Transfer to the Real World
","['Real World']
","['Transfer'] 
",0
"Transfer to the real world is already occurring in three appfication areas: database retrieval, message
","['real world', 'appfication areas', 'database retrieval', 'message']
","['Transfer', 'already occurring'] 
",1
"processing in highly constrained domains, and aids to document translation.
","['domains', 'aids document translation']
","['processing highly constrained'] 
",0
"As can be seen from the forecasts in the
","['forecasts']
","['seen'] 
",0
"previous section, prospects for continued transfer of technology seem bright.
","['previous section', 'prospects', 'transfer technology']
","['continued', 'seem bright'] 
",1
"Nevertheless, government support for
","['government support']
","[] 
",0
"particular aspects will be necessary to develop the technology and its commercialization in ways that might
","['particular aspects', 'technology commercialization ways']
","['develop'] 
",0
"otherwise be long delayed.
","[]
","['otherwise long delayed'] 
",0
"For instance, multi-modal interfaces that include both text and speech processing are
","['instance', 'multi-modal interfaces', 'text speech processing']
","['include'] 
",0
"clearly mandated in military apphcations, where high-quality audio-visual hardware is expected; on the other hand,
","['military apphcations', 'high-quality audio-visual hardware', 'hand']
","['clearly mandated', 'expected'] 
",1
"market forces can argue for supporting the lowest common denominator in hardware, such as, a terminal, because it
","['market forces', 'common denominator hardware', 'terminal']
","['argue supporting'] 
",0
"is the most dominant screen technology currently commonplace.
","['dominant screen technology']
","['currently commonplace'] 
",0
"Similarly, commercial sources can be expected to
","['commercial sources']
","['expected'] 
",0
"fund evolutionary improvements in current technology and short-term risks likely to have high payoff.
","['fund', 'evolutionary improvements', 'current technology', 'short-term risks', 'likely high payoff']
","[] 
",0
"However,
","[]
","[] 
",0
"the next one or two generations of science and technology cannot be expected to emerge without substantial
","['generations science technology', 'emerge']
","['expected'] 
",0
"government funding.
","['government funding']
","[] 
",0
"2R.
","[]
","[] 
",0
